E2E:137905 E2E:137905 PCA:15895 CombineModels:42 ParamTune:121776
E2E:143710 E2E:143710 PCA:15301 CombineModels:80 ParamTune:128132
E2E:146873 E2E:146873 PCA:15538 CombineModels:50 ParamTune:131011
E2E:134699 E2E:134699 PCA:14944 CombineModels:68 ParamTune:119495
E2E:128798 E2E:128798 PCA:15688 CombineModels:50 ParamTune:112815
E2E:145950 E2E:145950 PCA:15388 CombineModels:60 ParamTune:130274
E2E:137165 E2E:137165 PCA:15703 CombineModels:55 ParamTune:121035
E2E:134186 E2E:134186 PCA:15570 CombineModels:56 ParamTune:118336
E2E:141420 E2E:141420 PCA:15157 CombineModels:44 ParamTune:125983
E2E:146659 E2E:146659 PCA:15448 CombineModels:66 ParamTune:130931
E2E:132854 E2E:132854 PCA:15029 CombineModels:57 ParamTune:117425
E2E:126472 E2E:126472 PCA:15651 CombineModels:58 ParamTune:110536
E2E:133469 E2E:133469 PCA:15426 CombineModels:56 ParamTune:117807
E2E:132940 E2E:132940 PCA:15902 CombineModels:53 ParamTune:116765
E2E:137939 E2E:137939 PCA:14805 CombineModels:64 ParamTune:122865
E2E:149488 E2E:149488 PCA:15675 CombineModels:60 ParamTune:133542
E2E:147037 E2E:147037 PCA:15397 CombineModels:453 ParamTune:130960
E2E:129805 E2E:129805 PCA:15344 CombineModels:81 ParamTune:114176
E2E:136051 E2E:136051 PCA:16167 CombineModels:83 ParamTune:119560
E2E:153005 E2E:153005 PCA:16201 CombineModels:61 ParamTune:136529
E2E:148306 E2E:148306 PCA:20584 CombineModels:71 ParamTune:127439
E2E:133355 E2E:133355 PCA:15746 CombineModels:53 ParamTune:117342
E2E:127428 E2E:127428 PCA:15258 CombineModels:61 ParamTune:111872
E2E:152400 E2E:152400 PCA:15978 CombineModels:57 ParamTune:136071
E2E:135283 E2E:135283 PCA:15352 CombineModels:57 ParamTune:119660
E2E:126389 E2E:126389 PCA:14992 CombineModels:147 ParamTune:111052
E2E:141605 E2E:141605 PCA:15447 CombineModels:57 ParamTune:125875
E2E:135897 E2E:135897 PCA:15684 CombineModels:116 ParamTune:119835
E2E:144467 E2E:144467 PCA:15891 CombineModels:52 ParamTune:128322
E2E:128497 E2E:128497 PCA:15538 CombineModels:50 ParamTune:112694
E2E:142561 E2E:142561 PCA:14942 CombineModels:55 ParamTune:127355
E2E:148494 E2E:148494 PCA:15636 CombineModels:77 ParamTune:132591
E2E:148432 E2E:148432 PCA:15568 CombineModels:73 ParamTune:132583
E2E:130663 E2E:130663 PCA:15322 CombineModels:61 ParamTune:114993
E2E:139792 E2E:139792 PCA:15052 CombineModels:60 ParamTune:124420
E2E:137950 E2E:137950 PCA:15070 CombineModels:63 ParamTune:122605
E2E:159572 E2E:159572 PCA:14961 CombineModels:95 ParamTune:144211
E2E:143477 E2E:143477 PCA:14964 CombineModels:64 ParamTune:128235
E2E:142824 E2E:142824 PCA:15590 CombineModels:52 ParamTune:126970
E2E:129327 E2E:129327 PCA:15260 CombineModels:55 ParamTune:113802
E2E:133157 E2E:133157 PCA:15218 CombineModels:71 ParamTune:117653
E2E:128810 E2E:128810 PCA:15846 CombineModels:76 ParamTune:112699
E2E:137856 E2E:137856 PCA:15674 CombineModels:46 ParamTune:121774
E2E:134588 E2E:134588 PCA:15397 CombineModels:65 ParamTune:118930
E2E:147639 E2E:147639 PCA:15460 CombineModels:51 ParamTune:131907
E2E:154244 E2E:154244 PCA:15530 CombineModels:65 ParamTune:138461
E2E:134612 E2E:134612 PCA:15477 CombineModels:58 ParamTune:118868
E2E:159331 E2E:159331 PCA:14973 CombineModels:63 ParamTune:144087
E2E:147069 E2E:147069 PCA:15320 CombineModels:80 ParamTune:131443
E2E:137669 E2E:137669 PCA:15874 CombineModels:62 ParamTune:121521
E2E:131426 E2E:131426 PCA:16376 CombineModels:54 ParamTune:114681
E2E:145917 E2E:145917 PCA:15325 CombineModels:62 ParamTune:130303
E2E:137404 E2E:137404 PCA:16556 CombineModels:54 ParamTune:120558
E2E:145955 E2E:145955 PCA:16100 CombineModels:55 ParamTune:129610
E2E:141395 E2E:141395 PCA:15920 CombineModels:52 ParamTune:125213
E2E:132648 E2E:132648 PCA:15809 CombineModels:63 ParamTune:116533
E2E:154815 E2E:154815 PCA:15884 CombineModels:61 ParamTune:138617
E2E:136827 E2E:136827 PCA:16451 CombineModels:66 ParamTune:120108
E2E:151493 E2E:151493 PCA:15815 CombineModels:49 ParamTune:135392
E2E:128814 E2E:128814 PCA:15577 CombineModels:59 ParamTune:112989
E2E:123097 E2E:123097 PCA:15589 CombineModels:48 ParamTune:107244
E2E:143057 E2E:143057 PCA:16050 CombineModels:79 ParamTune:126681
E2E:146015 E2E:146015 PCA:15664 CombineModels:59 ParamTune:130074
E2E:139874 E2E:139874 PCA:15556 CombineModels:620 ParamTune:123454
E2E:134484 E2E:134484 PCA:17863 CombineModels:52 ParamTune:116344
E2E:143180 E2E:143180 PCA:16647 CombineModels:72 ParamTune:126262
E2E:149368 E2E:149368 PCA:16412 CombineModels:52 ParamTune:132734
E2E:130776 E2E:130776 PCA:16356 CombineModels:63 ParamTune:114129
E2E:152802 E2E:152802 PCA:17095 CombineModels:64 ParamTune:135296
E2E:155716 E2E:155716 PCA:16510 CombineModels:92 ParamTune:138842
E2E:140056 E2E:140056 PCA:16597 CombineModels:175 ParamTune:122953
E2E:144580 E2E:144580 PCA:16309 CombineModels:77 ParamTune:127967
E2E:140900 E2E:140900 PCA:16822 CombineModels:52 ParamTune:123819
E2E:135352 E2E:135352 PCA:16742 CombineModels:69 ParamTune:118307
E2E:158285 E2E:158285 PCA:17468 CombineModels:52 ParamTune:140535
E2E:140142 E2E:140142 PCA:16737 CombineModels:64 ParamTune:123109
E2E:140759 E2E:140759 PCA:16387 CombineModels:49 ParamTune:124075
E2E:146934 E2E:146934 PCA:17321 CombineModels:61 ParamTune:129336
E2E:146789 E2E:146789 PCA:16572 CombineModels:73 ParamTune:129908
E2E:135878 E2E:135878 PCA:17145 CombineModels:335 ParamTune:118148
E2E:155136 E2E:155136 PCA:16835 CombineModels:46 ParamTune:138039
E2E:143011 E2E:143011 PCA:16786 CombineModels:85 ParamTune:125815
E2E:140420 E2E:140420 PCA:16835 CombineModels:51 ParamTune:123324
E2E:135109 E2E:135109 PCA:16813 CombineModels:69 ParamTune:118042
E2E:146538 E2E:146538 PCA:16890 CombineModels:59 ParamTune:129383
E2E:140439 E2E:140439 PCA:16638 CombineModels:60 ParamTune:123516
E2E:142260 E2E:142260 PCA:16661 CombineModels:66 ParamTune:125344
E2E:130211 E2E:130211 PCA:16536 CombineModels:132 ParamTune:113239
E2E:153152 E2E:153152 PCA:17221 CombineModels:45 ParamTune:135675
E2E:140509 E2E:140509 PCA:16599 CombineModels:61 ParamTune:123636
E2E:138733 E2E:138733 PCA:17191 CombineModels:49 ParamTune:121300
E2E:155045 E2E:155045 PCA:16829 CombineModels:57 ParamTune:137919
E2E:133232 E2E:133232 PCA:17133 CombineModels:46 ParamTune:115843
E2E:148838 E2E:148838 PCA:16601 CombineModels:64 ParamTune:131965
E2E:145595 E2E:145595 PCA:17630 CombineModels:55 ParamTune:127685
E2E:135886 E2E:135886 PCA:16606 CombineModels:63 ParamTune:118973
E2E:163466 E2E:163466 PCA:16796 CombineModels:50 ParamTune:146426
E2E:144490 E2E:144490 PCA:16590 CombineModels:61 ParamTune:127612
E2E:147599 E2E:147599 PCA:17057 CombineModels:48 ParamTune:130276
E2E:149866 E2E:149866 PCA:16520 CombineModels:59 ParamTune:133071
E2E:145442 E2E:145442 PCA:16998 CombineModels:54 ParamTune:128127
E2E:128358 E2E:128358 PCA:16680 CombineModels:151 ParamTune:111308
E2E:148810 E2E:148810 PCA:16597 CombineModels:46 ParamTune:131969
E2E:160959 E2E:160959 PCA:16630 CombineModels:61 ParamTune:144077
E2E:159694 E2E:159694 PCA:16554 CombineModels:53 ParamTune:142848
E2E:140701 E2E:140701 PCA:16615 CombineModels:61 ParamTune:123832
E2E:146029 E2E:146029 PCA:16572 CombineModels:52 ParamTune:129142
E2E:141465 E2E:141465 PCA:17024 CombineModels:66 ParamTune:124157
E2E:146895 E2E:146895 PCA:16511 CombineModels:52 ParamTune:130121
E2E:128298 E2E:128298 PCA:16395 CombineModels:68 ParamTune:111643
E2E:128740 E2E:128740 PCA:17292 CombineModels:51 ParamTune:111197
E2E:146086 E2E:146086 PCA:16050 CombineModels:62 ParamTune:129708
E2E:160207 E2E:160207 PCA:16329 CombineModels:148 ParamTune:143505
E2E:148630 E2E:148630 PCA:17214 CombineModels:62 ParamTune:131151
E2E:129990 E2E:129990 PCA:16858 CombineModels:51 ParamTune:112489
E2E:141106 E2E:141106 PCA:16465 CombineModels:65 ParamTune:124375
E2E:143215 E2E:143215 PCA:16884 CombineModels:622 ParamTune:125494
E2E:143855 E2E:143855 PCA:16684 CombineModels:69 ParamTune:126863
E2E:165465 E2E:165465 PCA:20104 CombineModels:61 ParamTune:145078
E2E:149039 E2E:149039 PCA:16920 CombineModels:51 ParamTune:131877
E2E:154016 E2E:154016 PCA:16623 CombineModels:63 ParamTune:137113
E2E:151779 E2E:151779 PCA:16495 CombineModels:72 ParamTune:135010
E2E:153213 E2E:153213 PCA:16462 CombineModels:52 ParamTune:136483
E2E:147178 E2E:147178 PCA:16524 CombineModels:57 ParamTune:130417
E2E:146916 E2E:146916 PCA:16595 CombineModels:55 ParamTune:130029
E2E:147229 E2E:147229 PCA:16879 CombineModels:60 ParamTune:130108
E2E:141327 E2E:141327 PCA:16579 CombineModels:47 ParamTune:124505
E2E:147076 E2E:147076 PCA:16729 CombineModels:54 ParamTune:130098
E2E:156690 E2E:156690 PCA:17243 CombineModels:57 ParamTune:139179
E2E:140161 E2E:140161 PCA:16733 CombineModels:60 ParamTune:123170
E2E:165121 E2E:165121 PCA:16937 CombineModels:65 ParamTune:147868
E2E:163707 E2E:163707 PCA:16813 CombineModels:57 ParamTune:146631
E2E:139286 E2E:139286 PCA:16785 CombineModels:153 ParamTune:122138
E2E:159079 E2E:159079 PCA:16956 CombineModels:87 ParamTune:141819
E2E:143066 E2E:143066 PCA:16405 CombineModels:44 ParamTune:126414
E2E:151088 E2E:151088 PCA:16581 CombineModels:59 ParamTune:134244
E2E:140526 E2E:140526 PCA:16432 CombineModels:48 ParamTune:123848
E2E:148078 E2E:148078 PCA:16622 CombineModels:54 ParamTune:131197
E2E:139528 E2E:139528 PCA:16436 CombineModels:45 ParamTune:122858
E2E:151374 E2E:151374 PCA:16467 CombineModels:62 ParamTune:134591
E2E:147536 E2E:147536 PCA:18062 CombineModels:54 ParamTune:129217
E2E:146926 E2E:146926 PCA:16546 CombineModels:85 ParamTune:130001
E2E:153941 E2E:153941 PCA:16562 CombineModels:44 ParamTune:136982
E2E:138297 E2E:138297 PCA:16796 CombineModels:83 ParamTune:121231
E2E:142205 E2E:142205 PCA:16595 CombineModels:49 ParamTune:125341
E2E:151812 E2E:151812 PCA:15837 CombineModels:71 ParamTune:135678
E2E:145880 E2E:145880 PCA:16277 CombineModels:51 ParamTune:129312
E2E:161488 E2E:161488 PCA:16280 CombineModels:62 ParamTune:144900
E2E:143441 E2E:143441 PCA:16495 CombineModels:50 ParamTune:126669
E2E:158361 E2E:158361 PCA:16641 CombineModels:69 ParamTune:141414
E2E:130781 E2E:130781 PCA:15944 CombineModels:49 ParamTune:114584
E2E:141548 E2E:141548 PCA:16071 CombineModels:65 ParamTune:125194
E2E:138513 E2E:138513 PCA:16578 CombineModels:56 ParamTune:121350
E2E:134484 E2E:134484 PCA:16070 CombineModels:196 ParamTune:118027
E2E:150229 E2E:150229 PCA:16869 CombineModels:52 ParamTune:133097
E2E:140093 E2E:140093 PCA:16172 CombineModels:137 ParamTune:123563
E2E:124590 E2E:124590 PCA:16533 CombineModels:49 ParamTune:107798
E2E:135923 E2E:135923 PCA:16435 CombineModels:53 ParamTune:119238
E2E:135099 E2E:135099 PCA:16463 CombineModels:54 ParamTune:118266
E2E:148988 E2E:148988 PCA:19044 CombineModels:114 ParamTune:129625
E2E:144389 E2E:144389 PCA:15774 CombineModels:77 ParamTune:128311
E2E:164142 E2E:164142 PCA:15857 CombineModels:65 ParamTune:148014
E2E:142984 E2E:142984 PCA:15647 CombineModels:52 ParamTune:127074
E2E:139450 E2E:139450 PCA:15283 CombineModels:458 ParamTune:122912
E2E:128568 E2E:128568 PCA:15913 CombineModels:59 ParamTune:112395
E2E:146809 E2E:146809 PCA:16090 CombineModels:68 ParamTune:130389
E2E:128626 E2E:128626 PCA:15934 CombineModels:50 ParamTune:112357
E2E:140817 E2E:140817 PCA:15565 CombineModels:167 ParamTune:124857
E2E:144021 E2E:144021 PCA:15577 CombineModels:58 ParamTune:128119
E2E:149179 E2E:149179 PCA:15445 CombineModels:61 ParamTune:133448
E2E:145974 E2E:145974 PCA:15310 CombineModels:54 ParamTune:130342
E2E:140126 E2E:140126 PCA:15258 CombineModels:65 ParamTune:124594
E2E:132785 E2E:132785 PCA:15142 CombineModels:47 ParamTune:117386
E2E:131577 E2E:131577 PCA:15513 CombineModels:66 ParamTune:115775
E2E:138836 E2E:138836 PCA:15673 CombineModels:62 ParamTune:122875
E2E:150857 E2E:150857 PCA:15791 CombineModels:61 ParamTune:134654
E2E:134311 E2E:134311 PCA:15266 CombineModels:49 ParamTune:118783
E2E:132619 E2E:132619 PCA:15404 CombineModels:87 ParamTune:116942
E2E:137107 E2E:137107 PCA:15031 CombineModels:49 ParamTune:121729
E2E:135044 E2E:135044 PCA:15828 CombineModels:59 ParamTune:118919
E2E:133344 E2E:133344 PCA:15515 CombineModels:55 ParamTune:117560
E2E:142811 E2E:142811 PCA:15267 CombineModels:67 ParamTune:127273
E2E:154915 E2E:154915 PCA:15613 CombineModels:65 ParamTune:138988
E2E:126561 E2E:126561 PCA:14808 CombineModels:59 ParamTune:111486
E2E:130292 E2E:130292 PCA:15912 CombineModels:60 ParamTune:114121
E2E:133380 E2E:133380 PCA:15371 CombineModels:51 ParamTune:117761
E2E:138451 E2E:138451 PCA:15203 CombineModels:50 ParamTune:122971
E2E:139342 E2E:139342 PCA:14882 CombineModels:61 ParamTune:124139
E2E:128686 E2E:128686 PCA:14821 CombineModels:49 ParamTune:113457
E2E:131251 E2E:131251 PCA:15002 CombineModels:52 ParamTune:115912
E2E:145350 E2E:145350 PCA:15750 CombineModels:64 ParamTune:129316
E2E:143600 E2E:143600 PCA:14759 CombineModels:80 ParamTune:128542
E2E:143894 E2E:143894 PCA:15337 CombineModels:62 ParamTune:128288
E2E:143180 E2E:143180 PCA:15619 CombineModels:50 ParamTune:127294
E2E:139728 E2E:139728 PCA:15512 CombineModels:65 ParamTune:123945
E2E:143526 E2E:143526 PCA:15371 CombineModels:78 ParamTune:127878
E2E:139529 E2E:139529 PCA:15526 CombineModels:119 ParamTune:123646
E2E:142342 E2E:142342 PCA:15828 CombineModels:52 ParamTune:126267
E2E:145184 E2E:145184 PCA:15485 CombineModels:64 ParamTune:129416
E2E:130584 E2E:130584 PCA:16026 CombineModels:49 ParamTune:114320
E2E:142773 E2E:142773 PCA:15544 CombineModels:66 ParamTune:126934
E2E:119796 E2E:119796 PCA:15470 CombineModels:72 ParamTune:103936
E2E:137692 E2E:137692 PCA:15737 CombineModels:52 ParamTune:121652
E2E:141751 E2E:141751 PCA:15438 CombineModels:603 ParamTune:125463
E2E:139348 E2E:139348 PCA:15018 CombineModels:49 ParamTune:124070
E2E:135077 E2E:135077 PCA:14739 CombineModels:53 ParamTune:120096
E2E:134762 E2E:134762 PCA:14260 CombineModels:55 ParamTune:120214
E2E:129840 E2E:129840 PCA:15014 CombineModels:72 ParamTune:114522
E2E:131777 E2E:131777 PCA:14693 CombineModels:44 ParamTune:116838
E2E:136046 E2E:136046 PCA:14537 CombineModels:67 ParamTune:121229
E2E:138232 E2E:138232 PCA:14696 CombineModels:56 ParamTune:123232
E2E:144787 E2E:144787 PCA:14695 CombineModels:67 ParamTune:129814
E2E:142763 E2E:142763 PCA:15009 CombineModels:83 ParamTune:127450
E2E:139135 E2E:139135 PCA:14442 CombineModels:100 ParamTune:124366
E2E:124156 E2E:124156 PCA:15130 CombineModels:52 ParamTune:108769
E2E:135008 E2E:135008 PCA:15507 CombineModels:84 ParamTune:119198
E2E:127932 E2E:127932 PCA:14747 CombineModels:53 ParamTune:112917
E2E:126617 E2E:126617 PCA:14358 CombineModels:56 ParamTune:111988
E2E:135365 E2E:135365 PCA:14943 CombineModels:43 ParamTune:120161
