E2E:73916 CombineModels:695 ParamTune:63687 E2E:73916 PCA:9311
E2E:23438 CombineModels:41 ParamTune:16084 E2E:23438 PCA:7118
E2E:27309 CombineModels:92 ParamTune:19695 E2E:27309 PCA:7296
E2E:24133 CombineModels:46 ParamTune:16805 E2E:24133 PCA:7082
E2E:24722 CombineModels:50 ParamTune:17454 E2E:24722 PCA:7005
E2E:24137 CombineModels:52 ParamTune:16646 E2E:24137 PCA:7224
E2E:23043 CombineModels:41 ParamTune:15852 E2E:23043 PCA:6937
E2E:23780 CombineModels:53 ParamTune:16491 E2E:23780 PCA:7033
E2E:24130 CombineModels:53 ParamTune:16759 E2E:24130 PCA:7125
E2E:23258 CombineModels:51 ParamTune:15989 E2E:23258 PCA:6993
E2E:25072 CombineModels:43 ParamTune:17731 E2E:25072 PCA:7117
E2E:24319 CombineModels:50 ParamTune:16931 E2E:24319 PCA:7136
E2E:24900 CombineModels:64 ParamTune:17494 E2E:24900 PCA:7107
E2E:24834 CombineModels:42 ParamTune:17486 E2E:24834 PCA:7082
E2E:23953 CombineModels:48 ParamTune:16728 E2E:23953 PCA:6967
E2E:24470 CombineModels:117 ParamTune:16749 E2E:24470 PCA:7367
E2E:25240 CombineModels:45 ParamTune:17827 E2E:25240 PCA:7173
E2E:24630 CombineModels:166 ParamTune:17201 E2E:24630 PCA:6998
E2E:26215 CombineModels:47 ParamTune:18914 E2E:26215 PCA:7044
E2E:24970 CombineModels:52 ParamTune:17644 E2E:24970 PCA:7082
E2E:23094 CombineModels:55 ParamTune:15833 E2E:23094 PCA:6974
E2E:24113 CombineModels:102 ParamTune:16497 E2E:24113 PCA:7261
E2E:24082 CombineModels:45 ParamTune:16722 E2E:24082 PCA:7059
E2E:25591 CombineModels:47 ParamTune:18194 E2E:25591 PCA:7134
E2E:25074 CombineModels:40 ParamTune:17691 E2E:25074 PCA:7133
E2E:24580 CombineModels:45 ParamTune:16846 E2E:24580 PCA:7492
E2E:23604 CombineModels:47 ParamTune:16109 E2E:23604 PCA:7243
E2E:25134 CombineModels:48 ParamTune:17745 E2E:25134 PCA:7125
E2E:24622 CombineModels:45 ParamTune:17167 E2E:24622 PCA:7198
E2E:24290 CombineModels:49 ParamTune:16890 E2E:24290 PCA:7149
E2E:27707 CombineModels:57 ParamTune:20214 E2E:27707 PCA:7230
E2E:24354 CombineModels:50 ParamTune:17075 E2E:24354 PCA:7036
E2E:23934 CombineModels:46 ParamTune:16286 E2E:23934 PCA:7396
E2E:24652 CombineModels:43 ParamTune:16903 E2E:24652 PCA:7280
E2E:24739 CombineModels:53 ParamTune:17250 E2E:24739 PCA:7204
E2E:23976 CombineModels:47 ParamTune:16453 E2E:23976 PCA:7269
E2E:27658 CombineModels:50 ParamTune:19314 E2E:27658 PCA:7790
E2E:22948 CombineModels:59 ParamTune:15681 E2E:22948 PCA:6984
E2E:28091 CombineModels:54 ParamTune:20576 E2E:28091 PCA:7248
E2E:24149 CombineModels:45 ParamTune:16810 E2E:24149 PCA:7098
E2E:23596 CombineModels:72 ParamTune:16015 E2E:23596 PCA:7298
E2E:24968 CombineModels:46 ParamTune:17287 E2E:24968 PCA:7447
E2E:27963 CombineModels:50 ParamTune:20671 E2E:27963 PCA:7026
E2E:25934 CombineModels:54 ParamTune:18573 E2E:25934 PCA:7094
E2E:25574 CombineModels:43 ParamTune:18235 E2E:25574 PCA:7072
E2E:26818 CombineModels:47 ParamTune:19052 E2E:26818 PCA:7269
E2E:26293 CombineModels:40 ParamTune:18944 E2E:26293 PCA:7091
E2E:24007 CombineModels:49 ParamTune:16405 E2E:24007 PCA:7313
E2E:23564 CombineModels:38 ParamTune:16193 E2E:23564 PCA:7153
E2E:25763 CombineModels:52 ParamTune:18306 E2E:25763 PCA:7201
E2E:24834 CombineModels:53 ParamTune:17272 E2E:24834 PCA:7321
E2E:25101 CombineModels:61 ParamTune:17620 E2E:25101 PCA:7219
E2E:25248 CombineModels:51 ParamTune:17828 E2E:25248 PCA:7128
E2E:23504 CombineModels:43 ParamTune:16225 E2E:23504 PCA:7049
E2E:25364 CombineModels:144 ParamTune:17993 E2E:25364 PCA:7027
E2E:25582 CombineModels:41 ParamTune:18246 E2E:25582 PCA:7093
E2E:23981 CombineModels:58 ParamTune:16481 E2E:23981 PCA:7228
E2E:24458 CombineModels:47 ParamTune:17002 E2E:24458 PCA:7202
E2E:25026 CombineModels:40 ParamTune:17703 E2E:25026 PCA:7089
E2E:26133 CombineModels:53 ParamTune:18800 E2E:26133 PCA:7074
E2E:23693 CombineModels:41 ParamTune:16291 E2E:23693 PCA:7078
E2E:23546 CombineModels:59 ParamTune:15873 E2E:23546 PCA:7369
E2E:24735 CombineModels:45 ParamTune:17087 E2E:24735 PCA:7380
E2E:24720 CombineModels:47 ParamTune:17602 E2E:24720 PCA:6868
E2E:25333 CombineModels:47 ParamTune:17774 E2E:25333 PCA:7281
E2E:23988 CombineModels:55 ParamTune:16375 E2E:23988 PCA:7338
E2E:24506 CombineModels:44 ParamTune:17166 E2E:24506 PCA:7092
E2E:24027 CombineModels:58 ParamTune:16534 E2E:24027 PCA:7221
E2E:28059 CombineModels:60 ParamTune:18596 E2E:28059 PCA:9162
E2E:23405 CombineModels:41 ParamTune:16093 E2E:23405 PCA:7070
E2E:25474 CombineModels:58 ParamTune:18081 E2E:25474 PCA:7133
E2E:24925 CombineModels:40 ParamTune:17655 E2E:24925 PCA:7024
E2E:25916 CombineModels:48 ParamTune:18325 E2E:25916 PCA:7312
E2E:23939 CombineModels:49 ParamTune:16503 E2E:23939 PCA:7181
E2E:25502 CombineModels:52 ParamTune:18085 E2E:25502 PCA:7151
E2E:23534 CombineModels:49 ParamTune:15951 E2E:23534 PCA:7324
E2E:26049 CombineModels:53 ParamTune:18072 E2E:26049 PCA:7720
E2E:23782 CombineModels:44 ParamTune:16344 E2E:23782 PCA:7169
E2E:24763 CombineModels:52 ParamTune:17488 E2E:24763 PCA:7029
E2E:26788 CombineModels:52 ParamTune:19219 E2E:26788 PCA:7303
E2E:25925 CombineModels:45 ParamTune:18557 E2E:25925 PCA:7135
E2E:24207 CombineModels:39 ParamTune:16705 E2E:24207 PCA:7255
E2E:26506 CombineModels:49 ParamTune:19230 E2E:26506 PCA:7010
E2E:24727 CombineModels:42 ParamTune:17324 E2E:24727 PCA:7161
E2E:25216 CombineModels:51 ParamTune:17705 E2E:25216 PCA:7264
E2E:25515 CombineModels:45 ParamTune:18278 E2E:25515 PCA:6997
E2E:24508 CombineModels:45 ParamTune:17089 E2E:24508 PCA:7175
E2E:24100 CombineModels:51 ParamTune:16716 E2E:24100 PCA:7148
E2E:25610 CombineModels:42 ParamTune:18130 E2E:25610 PCA:7209
E2E:24613 CombineModels:47 ParamTune:16941 E2E:24613 PCA:7419
E2E:25145 CombineModels:37 ParamTune:17528 E2E:25145 PCA:7387
E2E:24695 CombineModels:48 ParamTune:17295 E2E:24695 PCA:7128
E2E:24318 CombineModels:45 ParamTune:16890 E2E:24318 PCA:7131
E2E:24423 CombineModels:55 ParamTune:17170 E2E:24423 PCA:6984
E2E:25043 CombineModels:43 ParamTune:17542 E2E:25043 PCA:7255
E2E:24858 CombineModels:50 ParamTune:17630 E2E:24858 PCA:6975
E2E:24317 CombineModels:48 ParamTune:17050 E2E:24317 PCA:7024
E2E:25317 CombineModels:45 ParamTune:16967 E2E:25317 PCA:8084
E2E:24608 CombineModels:55 ParamTune:17069 E2E:24608 PCA:7273
E2E:25649 CombineModels:64 ParamTune:18329 E2E:25649 PCA:7029
E2E:25932 CombineModels:44 ParamTune:18684 E2E:25932 PCA:6996
E2E:29746 CombineModels:45 ParamTune:22097 E2E:29746 PCA:7410
E2E:25377 CombineModels:42 ParamTune:18175 E2E:25377 PCA:6944
E2E:24700 CombineModels:45 ParamTune:17466 E2E:24700 PCA:6961
E2E:24700 CombineModels:45 ParamTune:17005 E2E:24700 PCA:7446
E2E:24724 CombineModels:54 ParamTune:16922 E2E:24724 PCA:7520
E2E:26105 CombineModels:45 ParamTune:18671 E2E:26105 PCA:7171
E2E:23976 CombineModels:41 ParamTune:16424 E2E:23976 PCA:7300
E2E:26165 CombineModels:39 ParamTune:18510 E2E:26165 PCA:7381
E2E:23083 CombineModels:46 ParamTune:15789 E2E:23083 PCA:7038
E2E:24060 CombineModels:53 ParamTune:16876 E2E:24060 PCA:6922
E2E:24295 CombineModels:50 ParamTune:16807 E2E:24295 PCA:7238
E2E:24729 CombineModels:43 ParamTune:17315 E2E:24729 PCA:7175
E2E:25833 CombineModels:50 ParamTune:18362 E2E:25833 PCA:7192
E2E:24313 CombineModels:65 ParamTune:17031 E2E:24313 PCA:7004
E2E:25333 CombineModels:44 ParamTune:17779 E2E:25333 PCA:7282
E2E:26831 CombineModels:46 ParamTune:19621 E2E:26831 PCA:6884
E2E:25544 CombineModels:44 ParamTune:17838 E2E:25544 PCA:7451
E2E:23676 CombineModels:47 ParamTune:16253 E2E:23676 PCA:7183
E2E:24470 CombineModels:48 ParamTune:17150 E2E:24470 PCA:7065
E2E:24909 CombineModels:43 ParamTune:17442 E2E:24909 PCA:7220
E2E:24386 CombineModels:76 ParamTune:17122 E2E:24386 PCA:6962
E2E:26837 CombineModels:41 ParamTune:19202 E2E:26837 PCA:7400
E2E:24590 CombineModels:44 ParamTune:17020 E2E:24590 PCA:7282
E2E:26705 CombineModels:47 ParamTune:19233 E2E:26705 PCA:7220
E2E:25450 CombineModels:87 ParamTune:18029 E2E:25450 PCA:7120
E2E:26550 CombineModels:54 ParamTune:19160 E2E:26550 PCA:7115
E2E:26681 CombineModels:50 ParamTune:19280 E2E:26681 PCA:7132
E2E:26667 CombineModels:45 ParamTune:19350 E2E:26667 PCA:7029
E2E:25333 CombineModels:47 ParamTune:17841 E2E:25333 PCA:7209
E2E:25067 CombineModels:50 ParamTune:17634 E2E:25067 PCA:7120
E2E:25155 CombineModels:42 ParamTune:17723 E2E:25155 PCA:7178
E2E:24609 CombineModels:365 ParamTune:16740 E2E:24609 PCA:7269
E2E:24223 CombineModels:58 ParamTune:16671 E2E:24223 PCA:7253
E2E:29522 CombineModels:49 ParamTune:21788 E2E:29522 PCA:7476
E2E:25952 CombineModels:45 ParamTune:17580 E2E:25952 PCA:8103
E2E:26612 CombineModels:48 ParamTune:19074 E2E:26612 PCA:7279
E2E:23926 CombineModels:48 ParamTune:16486 E2E:23926 PCA:7205
E2E:24052 CombineModels:38 ParamTune:16613 E2E:24052 PCA:7191
E2E:23680 CombineModels:57 ParamTune:15870 E2E:23680 PCA:7514
E2E:25537 CombineModels:66 ParamTune:17883 E2E:25537 PCA:7367
E2E:25482 CombineModels:41 ParamTune:17887 E2E:25482 PCA:7298
E2E:24971 CombineModels:53 ParamTune:17336 E2E:24971 PCA:7364
E2E:24986 CombineModels:51 ParamTune:17197 E2E:24986 PCA:7528
E2E:28383 CombineModels:98 ParamTune:18717 E2E:28383 PCA:9349
E2E:25938 CombineModels:45 ParamTune:18232 E2E:25938 PCA:7439
E2E:26462 CombineModels:198 ParamTune:18609 E2E:26462 PCA:7253
E2E:25031 CombineModels:54 ParamTune:17210 E2E:25031 PCA:7448
E2E:24690 CombineModels:47 ParamTune:17095 E2E:24690 PCA:7331
E2E:26359 CombineModels:51 ParamTune:18436 E2E:26359 PCA:7574
E2E:23585 CombineModels:46 ParamTune:16049 E2E:23585 PCA:7267
E2E:27340 CombineModels:45 ParamTune:18948 E2E:27340 PCA:8071
E2E:23975 CombineModels:43 ParamTune:16230 E2E:23975 PCA:7506
E2E:24646 CombineModels:48 ParamTune:16990 E2E:24646 PCA:7394
E2E:26233 CombineModels:54 ParamTune:18209 E2E:26233 PCA:7761
E2E:25962 CombineModels:50 ParamTune:17848 E2E:25962 PCA:7862
E2E:25601 CombineModels:47 ParamTune:17610 E2E:25601 PCA:7721
E2E:27921 CombineModels:51 ParamTune:20070 E2E:27921 PCA:7575
E2E:25691 CombineModels:69 ParamTune:17809 E2E:25691 PCA:7583
E2E:23859 CombineModels:46 ParamTune:16142 E2E:23859 PCA:7459
E2E:24884 CombineModels:58 ParamTune:17038 E2E:24884 PCA:7582
E2E:24694 CombineModels:76 ParamTune:16434 E2E:24694 PCA:7979
E2E:26065 CombineModels:69 ParamTune:18070 E2E:26065 PCA:7707
E2E:25713 CombineModels:48 ParamTune:17751 E2E:25713 PCA:7698
E2E:25169 CombineModels:44 ParamTune:17214 E2E:25169 PCA:7687
E2E:24984 CombineModels:45 ParamTune:16926 E2E:24984 PCA:7782
E2E:25273 CombineModels:41 ParamTune:17277 E2E:25273 PCA:7750
E2E:26668 CombineModels:80 ParamTune:18300 E2E:26668 PCA:8085
E2E:26367 CombineModels:49 ParamTune:17715 E2E:26367 PCA:8391
E2E:25900 CombineModels:42 ParamTune:18147 E2E:25900 PCA:7526
E2E:26045 CombineModels:49 ParamTune:18114 E2E:26045 PCA:7665
E2E:25246 CombineModels:43 ParamTune:17324 E2E:25246 PCA:7675
E2E:24988 CombineModels:55 ParamTune:17488 E2E:24988 PCA:7236
E2E:24630 CombineModels:48 ParamTune:17273 E2E:24630 PCA:7123
E2E:25007 CombineModels:54 ParamTune:17594 E2E:25007 PCA:7151
E2E:25487 CombineModels:46 ParamTune:18135 E2E:25487 PCA:7070
E2E:25207 CombineModels:62 ParamTune:17189 E2E:25207 PCA:7770
E2E:25571 CombineModels:47 ParamTune:18293 E2E:25571 PCA:7028
E2E:24367 CombineModels:59 ParamTune:16965 E2E:24367 PCA:7115
E2E:27074 CombineModels:48 ParamTune:19551 E2E:27074 PCA:7274
E2E:25872 CombineModels:49 ParamTune:18074 E2E:25872 PCA:7437
E2E:25806 CombineModels:42 ParamTune:18254 E2E:25806 PCA:7256
E2E:25204 CombineModels:60 ParamTune:17577 E2E:25204 PCA:7352
E2E:26436 CombineModels:50 ParamTune:18538 E2E:26436 PCA:7485
E2E:25144 CombineModels:50 ParamTune:17711 E2E:25144 PCA:7179
E2E:23907 CombineModels:45 ParamTune:16561 E2E:23907 PCA:7099
E2E:24335 CombineModels:44 ParamTune:16406 E2E:24335 PCA:7680
E2E:25643 CombineModels:45 ParamTune:18092 E2E:25643 PCA:7277
E2E:23437 CombineModels:49 ParamTune:15794 E2E:23437 PCA:7335
E2E:25434 CombineModels:48 ParamTune:18128 E2E:25434 PCA:7036
E2E:24077 CombineModels:45 ParamTune:16779 E2E:24077 PCA:7031
E2E:24457 CombineModels:41 ParamTune:16945 E2E:24457 PCA:7256
E2E:23337 CombineModels:43 ParamTune:16053 E2E:23337 PCA:7045
E2E:24657 CombineModels:60 ParamTune:17448 E2E:24657 PCA:6944
E2E:24309 CombineModels:99 ParamTune:16516 E2E:24309 PCA:7435
E2E:25613 CombineModels:43 ParamTune:17829 E2E:25613 PCA:7532
E2E:23459 CombineModels:42 ParamTune:15763 E2E:23459 PCA:7456
E2E:26793 CombineModels:51 ParamTune:18269 E2E:26793 PCA:8284
E2E:25604 CombineModels:48 ParamTune:18210 E2E:25604 PCA:7132
E2E:24789 CombineModels:51 ParamTune:17117 E2E:24789 PCA:7322
E2E:25697 CombineModels:55 ParamTune:18321 E2E:25697 PCA:7115
E2E:25673 CombineModels:67 ParamTune:18064 E2E:25673 PCA:7346
E2E:23713 CombineModels:41 ParamTune:15950 E2E:23713 PCA:7405
E2E:24266 CombineModels:43 ParamTune:16725 E2E:24266 PCA:7299
E2E:24460 CombineModels:41 ParamTune:17074 E2E:24460 PCA:7154
E2E:25903 CombineModels:46 ParamTune:16200 E2E:25903 PCA:9461
E2E:26584 CombineModels:44 ParamTune:18075 E2E:26584 PCA:8236
E2E:24866 CombineModels:45 ParamTune:16901 E2E:24866 PCA:7701
E2E:25214 CombineModels:48 ParamTune:16878 E2E:25214 PCA:8057
E2E:25011 CombineModels:52 ParamTune:17091 E2E:25011 PCA:7561
E2E:25128 CombineModels:48 ParamTune:16934 E2E:25128 PCA:7927
E2E:24028 CombineModels:54 ParamTune:16024 E2E:24028 PCA:7713
E2E:23656 CombineModels:59 ParamTune:15903 E2E:23656 PCA:7478
E2E:24058 CombineModels:44 ParamTune:16361 E2E:24058 PCA:7297
E2E:25332 CombineModels:50 ParamTune:17559 E2E:25332 PCA:7468
E2E:28980 CombineModels:184 ParamTune:15952 E2E:28980 PCA:7945
E2E:23613 CombineModels:45 ParamTune:15811 E2E:23613 PCA:7513
E2E:29336 CombineModels:60 ParamTune:16937 E2E:29336 PCA:12131
E2E:26761 CombineModels:47 ParamTune:18686 E2E:26761 PCA:7828
E2E:25679 CombineModels:44 ParamTune:17730 E2E:25679 PCA:7690
E2E:28141 CombineModels:45 ParamTune:19887 E2E:28141 PCA:7954
E2E:24346 CombineModels:41 ParamTune:16471 E2E:24346 PCA:7590
E2E:26976 CombineModels:63 ParamTune:18756 E2E:26976 PCA:7954
E2E:25300 CombineModels:60 ParamTune:17195 E2E:25300 PCA:7806
E2E:24406 CombineModels:53 ParamTune:16780 E2E:24406 PCA:7384
E2E:26040 CombineModels:47 ParamTune:17862 E2E:26040 PCA:7907
E2E:24414 CombineModels:50 ParamTune:16634 E2E:24414 PCA:7521
E2E:25896 CombineModels:49 ParamTune:17530 E2E:25896 PCA:8089
E2E:25741 CombineModels:47 ParamTune:17911 E2E:25741 PCA:7566
E2E:26363 CombineModels:39 ParamTune:18190 E2E:26363 PCA:7920
E2E:24971 CombineModels:46 ParamTune:17356 E2E:24971 PCA:7366
E2E:24997 CombineModels:46 ParamTune:16799 E2E:24997 PCA:7910
E2E:24476 CombineModels:51 ParamTune:16207 E2E:24476 PCA:7982
E2E:24296 CombineModels:42 ParamTune:16608 E2E:24296 PCA:7427
E2E:26411 CombineModels:45 ParamTune:18080 E2E:26411 PCA:8070
E2E:24606 CombineModels:41 ParamTune:16763 E2E:24606 PCA:7570
E2E:27091 CombineModels:41 ParamTune:18982 E2E:27091 PCA:7850
E2E:26373 CombineModels:51 ParamTune:18498 E2E:26373 PCA:7616
E2E:25777 CombineModels:54 ParamTune:17645 E2E:25777 PCA:7872
E2E:23967 CombineModels:47 ParamTune:16138 E2E:23967 PCA:7582
E2E:24745 CombineModels:46 ParamTune:16364 E2E:24745 PCA:8116
E2E:25576 CombineModels:52 ParamTune:17471 E2E:25576 PCA:7833
E2E:27187 CombineModels:52 ParamTune:19415 E2E:27187 PCA:7518
E2E:25466 CombineModels:61 ParamTune:17597 E2E:25466 PCA:7561
E2E:26512 CombineModels:45 ParamTune:18754 E2E:26512 PCA:7504
E2E:23749 CombineModels:53 ParamTune:16187 E2E:23749 PCA:7298
E2E:24406 CombineModels:49 ParamTune:16718 E2E:24406 PCA:7413
E2E:25276 CombineModels:40 ParamTune:17476 E2E:25276 PCA:7563
E2E:25607 CombineModels:49 ParamTune:17916 E2E:25607 PCA:7403
E2E:24661 CombineModels:42 ParamTune:16559 E2E:24661 PCA:7848
E2E:24623 CombineModels:46 ParamTune:16727 E2E:24623 PCA:7658
E2E:25568 CombineModels:53 ParamTune:17546 E2E:25568 PCA:7646
E2E:23989 CombineModels:53 ParamTune:16189 E2E:23989 PCA:7534
E2E:23869 CombineModels:56 ParamTune:16198 E2E:23869 PCA:7427
E2E:24318 CombineModels:46 ParamTune:16128 E2E:24318 PCA:7935
E2E:25018 CombineModels:54 ParamTune:17148 E2E:25018 PCA:7586
E2E:26135 CombineModels:66 ParamTune:17865 E2E:26135 PCA:7934
E2E:25085 CombineModels:42 ParamTune:17022 E2E:25085 PCA:7835
