E2E:68414 Classify:58457 Shuffle:246 Extract:2081 Split:3890 E2E:68414
E2E:37573 Classify:29428 Shuffle:47 Extract:275 Split:2382 E2E:37573
E2E:37364 Classify:29349 Shuffle:49 Extract:476 Split:2216 E2E:37364
E2E:38027 Classify:29352 Shuffle:43 Extract:306 Split:2950 E2E:38027
E2E:37523 Classify:29312 Shuffle:52 Extract:280 Split:2409 E2E:37523
E2E:38051 Classify:29513 Shuffle:111 Extract:1406 Split:2830 E2E:38051
E2E:37650 Classify:29534 Shuffle:51 Extract:571 Split:2313 E2E:37650
E2E:37438 Classify:29399 Shuffle:42 Extract:279 Split:2227 E2E:37438
E2E:37182 Classify:29306 Shuffle:38 Extract:351 Split:2110 E2E:37182
E2E:38082 Classify:29436 Shuffle:72 Extract:416 Split:2758 E2E:38082
E2E:37711 Classify:29400 Shuffle:49 Extract:302 Split:2513 E2E:37711
E2E:37900 Classify:29573 Shuffle:47 Extract:322 Split:2519 E2E:37900
E2E:37576 Classify:29357 Shuffle:48 Extract:338 Split:2339 E2E:37576
E2E:37989 Classify:29527 Shuffle:44 Extract:383 Split:2684 E2E:37989
E2E:37681 Classify:29400 Shuffle:45 Extract:291 Split:2501 E2E:37681
E2E:37700 Classify:31326 Shuffle:47 Extract:385 Split:2513 E2E:37700
E2E:37690 Classify:29626 Shuffle:52 Extract:326 Split:2256 E2E:37690
E2E:37997 Classify:29719 Shuffle:47 Extract:419 Split:2445 E2E:37997
E2E:38460 Classify:29400 Shuffle:59 Extract:302 Split:3190 E2E:38460
E2E:37047 Classify:29521 Shuffle:123 Extract:302 Split:2243 E2E:37047
E2E:37870 Classify:29709 Shuffle:48 Extract:388 Split:2405 E2E:37870
E2E:37727 Classify:29482 Shuffle:48 Extract:321 Split:2382 E2E:37727
E2E:37921 Classify:29720 Shuffle:86 Extract:283 Split:2312 E2E:37921
E2E:38840 Classify:30360 Shuffle:125 Extract:310 Split:2685 E2E:38840
E2E:37568 Classify:29323 Shuffle:53 Extract:420 Split:2476 E2E:37568
E2E:37847 Classify:29565 Shuffle:43 Extract:324 Split:2489 E2E:37847
E2E:37879 Classify:29597 Shuffle:45 Extract:294 Split:2453 E2E:37879
E2E:38267 Classify:30169 Shuffle:46 Extract:307 Split:2332 E2E:38267
E2E:38015 Classify:29560 Shuffle:46 Extract:392 Split:2674 E2E:38015
E2E:38214 Classify:29810 Shuffle:52 Extract:341 Split:2572 E2E:38214
E2E:38092 Classify:29908 Shuffle:45 Extract:416 Split:2426 E2E:38092
E2E:38315 Classify:30085 Shuffle:50 Extract:340 Split:2417 E2E:38315
E2E:37625 Classify:29433 Shuffle:46 Extract:614 Split:2424 E2E:37625
E2E:38200 Classify:29949 Shuffle:44 Extract:493 Split:2484 E2E:38200
E2E:38044 Classify:29766 Shuffle:56 Extract:297 Split:2479 E2E:38044
E2E:38036 Classify:29985 Shuffle:67 Extract:311 Split:2432 E2E:38036
E2E:37650 Classify:29517 Shuffle:115 Extract:378 Split:2266 E2E:37650
E2E:37983 Classify:29880 Shuffle:394 Extract:339 Split:2496 E2E:37983
E2E:37482 Classify:29465 Shuffle:49 Extract:308 Split:2267 E2E:37482
E2E:38530 Classify:30125 Shuffle:177 Extract:586 Split:2516 E2E:38530
E2E:37548 Classify:29554 Shuffle:50 Extract:304 Split:2217 E2E:37548
E2E:37079 Classify:29112 Shuffle:55 Extract:450 Split:2158 E2E:37079
E2E:38151 Classify:29522 Shuffle:71 Extract:364 Split:2785 E2E:38151
E2E:37476 Classify:29205 Shuffle:42 Extract:302 Split:2503 E2E:37476
E2E:38073 Classify:29692 Shuffle:51 Extract:389 Split:2408 E2E:38073
E2E:37295 Classify:29434 Shuffle:46 Extract:319 Split:2433 E2E:37295
E2E:37846 Classify:29541 Shuffle:47 Extract:267 Split:2541 E2E:37846
E2E:37179 Classify:29129 Shuffle:59 Extract:344 Split:2220 E2E:37179
E2E:38033 Classify:29903 Shuffle:43 Extract:309 Split:2363 E2E:38033
E2E:37811 Classify:29199 Shuffle:55 Extract:419 Split:2805 E2E:37811
E2E:38321 Classify:30042 Shuffle:44 Extract:336 Split:2506 E2E:38321
E2E:37273 Classify:29249 Shuffle:50 Extract:485 Split:2222 E2E:37273
E2E:37871 Classify:29375 Shuffle:50 Extract:277 Split:2620 E2E:37871
E2E:39267 Classify:29555 Shuffle:50 Extract:316 Split:3895 E2E:39267
E2E:37270 Classify:29178 Shuffle:47 Extract:319 Split:2301 E2E:37270
E2E:37910 Classify:29653 Shuffle:50 Extract:280 Split:2477 E2E:37910
E2E:39290 Classify:30897 Shuffle:45 Extract:500 Split:2517 E2E:39290
E2E:38288 Classify:29533 Shuffle:76 Extract:409 Split:2907 E2E:38288
E2E:37003 Classify:28986 Shuffle:46 Extract:348 Split:2264 E2E:37003
E2E:36646 Classify:28400 Shuffle:102 Extract:370 Split:2462 E2E:36646
E2E:38902 Classify:30531 Shuffle:54 Extract:389 Split:2601 E2E:38902
E2E:37401 Classify:29327 Shuffle:51 Extract:295 Split:2274 E2E:37401
E2E:37110 Classify:28942 Shuffle:51 Extract:398 Split:2333 E2E:37110
E2E:36331 Classify:28416 Shuffle:42 Extract:334 Split:2210 E2E:36331
E2E:36232 Classify:30371 Shuffle:96 Extract:355 Split:2286 E2E:36232
E2E:36407 Classify:28588 Shuffle:61 Extract:296 Split:2373 E2E:36407
E2E:37918 Classify:29738 Shuffle:52 Extract:311 Split:2429 E2E:37918
E2E:36386 Classify:28317 Shuffle:45 Extract:285 Split:2271 E2E:36386
E2E:38156 Classify:29798 Shuffle:52 Extract:317 Split:2544 E2E:38156
E2E:43578 Classify:35546 Shuffle:51 Extract:324 Split:2268 E2E:43578
E2E:36986 Classify:29820 Shuffle:52 Extract:315 Split:2603 E2E:36986
E2E:37044 Classify:28464 Shuffle:45 Extract:393 Split:2743 E2E:37044
E2E:52550 Classify:39209 Shuffle:55 Extract:349 Split:2532 E2E:52550
E2E:37508 Classify:29663 Shuffle:52 Extract:405 Split:2411 E2E:37508
E2E:36923 Classify:28596 Shuffle:42 Extract:283 Split:2551 E2E:36923
E2E:36809 Classify:28631 Shuffle:47 Extract:325 Split:2383 E2E:36809
E2E:36365 Classify:28227 Shuffle:48 Extract:319 Split:2342 E2E:36365
E2E:37860 Classify:29609 Shuffle:43 Extract:542 Split:2311 E2E:37860
E2E:36581 Classify:28403 Shuffle:52 Extract:319 Split:2378 E2E:36581
E2E:37253 Classify:29226 Shuffle:50 Extract:303 Split:2304 E2E:37253
E2E:37088 Classify:28886 Shuffle:54 Extract:340 Split:2449 E2E:37088
E2E:33759 Classify:28203 Shuffle:47 Extract:310 Split:2214 E2E:33759
E2E:34476 Classify:29016 Shuffle:49 Extract:406 Split:2244 E2E:34476
E2E:33786 Classify:27197 Shuffle:56 Extract:304 Split:2543 E2E:33786
E2E:36484 Classify:28461 Shuffle:47 Extract:1401 Split:2211 E2E:36484
E2E:37019 Classify:28686 Shuffle:41 Extract:470 Split:2518 E2E:37019
E2E:36604 Classify:28365 Shuffle:46 Extract:324 Split:2487 E2E:36604
E2E:36903 Classify:28928 Shuffle:143 Extract:284 Split:2217 E2E:36903
E2E:36755 Classify:28437 Shuffle:54 Extract:398 Split:2496 E2E:36755
E2E:34106 Classify:28224 Shuffle:74 Extract:300 Split:2530 E2E:34106
E2E:38238 Classify:29774 Shuffle:52 Extract:377 Split:2547 E2E:38238
E2E:36704 Classify:29238 Shuffle:41 Extract:383 Split:2511 E2E:36704
E2E:37826 Classify:29758 Shuffle:55 Extract:2265 Split:2280 E2E:37826
E2E:36602 Classify:28263 Shuffle:52 Extract:367 Split:2566 E2E:36602
E2E:38115 Classify:30025 Shuffle:64 Extract:622 Split:2372 E2E:38115
E2E:33485 Classify:27294 Shuffle:59 Extract:447 Split:2686 E2E:33485
E2E:37632 Classify:29544 Shuffle:47 Extract:725 Split:2259 E2E:37632
E2E:33235 Classify:27144 Shuffle:56 Extract:314 Split:2543 E2E:33235
E2E:34570 Classify:29140 Shuffle:49 Extract:331 Split:2200 E2E:34570
E2E:35217 Classify:28131 Shuffle:55 Extract:276 Split:2381 E2E:35217
E2E:34392 Classify:28610 Shuffle:51 Extract:317 Split:2475 E2E:34392
E2E:36505 Classify:28300 Shuffle:46 Extract:520 Split:2413 E2E:36505
E2E:33519 Classify:27674 Shuffle:49 Extract:302 Split:2370 E2E:33519
E2E:36430 Classify:28174 Shuffle:53 Extract:366 Split:2500 E2E:36430
E2E:33675 Classify:27015 Shuffle:44 Extract:365 Split:2512 E2E:33675
E2E:35437 Classify:29868 Shuffle:48 Extract:416 Split:2335 E2E:35437
E2E:35094 Classify:29532 Shuffle:47 Extract:299 Split:2289 E2E:35094
E2E:36365 Classify:28282 Shuffle:50 Extract:307 Split:2303 E2E:36365
E2E:36343 Classify:28207 Shuffle:46 Extract:301 Split:3468 E2E:36343
E2E:43365 Classify:35444 Shuffle:38 Extract:475 Split:2141 E2E:43365
E2E:37594 Classify:29543 Shuffle:55 Extract:371 Split:2258 E2E:37594
E2E:36679 Classify:28352 Shuffle:72 Extract:276 Split:2458 E2E:36679
E2E:36507 Classify:28287 Shuffle:48 Extract:328 Split:2451 E2E:36507
E2E:35425 Classify:28328 Shuffle:54 Extract:299 Split:2396 E2E:35425
E2E:36543 Classify:28411 Shuffle:45 Extract:644 Split:2351 E2E:36543
E2E:35993 Classify:29547 Shuffle:63 Extract:369 Split:2380 E2E:35993
E2E:37051 Classify:28489 Shuffle:50 Extract:324 Split:2416 E2E:37051
E2E:35324 Classify:28235 Shuffle:53 Extract:292 Split:2429 E2E:35324
E2E:39032 Classify:30540 Shuffle:51 Extract:275 Split:2670 E2E:39032
E2E:44370 Classify:36181 Shuffle:49 Extract:550 Split:2426 E2E:44370
E2E:36635 Classify:28280 Shuffle:53 Extract:332 Split:2519 E2E:36635
E2E:37499 Classify:29374 Shuffle:50 Extract:570 Split:2298 E2E:37499
E2E:36889 Classify:29207 Shuffle:42 Extract:563 Split:2581 E2E:36889
E2E:38590 Classify:30408 Shuffle:49 Extract:524 Split:2418 E2E:38590
E2E:37061 Classify:28611 Shuffle:44 Extract:447 Split:2492 E2E:37061
E2E:39660 Classify:31321 Shuffle:52 Extract:330 Split:2559 E2E:39660
E2E:46081 Classify:38033 Shuffle:40 Extract:334 Split:2254 E2E:46081
E2E:36425 Classify:28320 Shuffle:50 Extract:315 Split:2327 E2E:36425
E2E:40465 Classify:32235 Shuffle:59 Extract:293 Split:2397 E2E:40465
E2E:38784 Classify:30442 Shuffle:49 Extract:279 Split:2468 E2E:38784
E2E:38402 Classify:30097 Shuffle:45 Extract:523 Split:2506 E2E:38402
E2E:43490 Classify:35341 Shuffle:88 Extract:299 Split:2247 E2E:43490
E2E:37227 Classify:28991 Shuffle:46 Extract:310 Split:2428 E2E:37227
E2E:39214 Classify:31125 Shuffle:46 Extract:319 Split:2348 E2E:39214
E2E:42750 Classify:34648 Shuffle:47 Extract:344 Split:2312 E2E:42750
E2E:37440 Classify:29384 Shuffle:58 Extract:300 Split:2272 E2E:37440
E2E:37139 Classify:28811 Shuffle:49 Extract:306 Split:2538 E2E:37139
E2E:37229 Classify:28903 Shuffle:71 Extract:336 Split:2487 E2E:37229
E2E:38297 Classify:29952 Shuffle:79 Extract:575 Split:2509 E2E:38297
E2E:38180 Classify:29947 Shuffle:49 Extract:299 Split:2505 E2E:38180
E2E:44124 Classify:35427 Shuffle:117 Extract:399 Split:2592 E2E:44124
E2E:37741 Classify:29035 Shuffle:43 Extract:597 Split:2956 E2E:37741
E2E:38369 Classify:30301 Shuffle:51 Extract:398 Split:2276 E2E:38369
E2E:37945 Classify:29811 Shuffle:53 Extract:420 Split:2359 E2E:37945
E2E:37563 Classify:29286 Shuffle:45 Extract:616 Split:2481 E2E:37563
E2E:37340 Classify:29197 Shuffle:45 Extract:299 Split:2391 E2E:37340
E2E:38288 Classify:30278 Shuffle:46 Extract:983 Split:2227 E2E:38288
E2E:38049 Classify:29508 Shuffle:47 Extract:547 Split:2737 E2E:38049
E2E:37679 Classify:29472 Shuffle:50 Extract:317 Split:2370 E2E:37679
E2E:37400 Classify:29204 Shuffle:50 Extract:342 Split:2389 E2E:37400
E2E:37543 Classify:29261 Shuffle:50 Extract:354 Split:2534 E2E:37543
E2E:37649 Classify:29418 Shuffle:58 Extract:414 Split:2403 E2E:37649
E2E:37601 Classify:29197 Shuffle:36 Extract:287 Split:2613 E2E:37601
E2E:37458 Classify:29474 Shuffle:52 Extract:292 Split:2143 E2E:37458
E2E:36826 Classify:28818 Shuffle:60 Extract:365 Split:2224 E2E:36826
E2E:37418 Classify:29371 Shuffle:48 Extract:300 Split:2329 E2E:37418
E2E:36921 Classify:28805 Shuffle:45 Extract:262 Split:2714 E2E:36921
E2E:37244 Classify:29119 Shuffle:44 Extract:336 Split:2305 E2E:37244
E2E:37773 Classify:29438 Shuffle:58 Extract:590 Split:2347 E2E:37773
E2E:36959 Classify:29474 Shuffle:48 Extract:386 Split:2433 E2E:36959
E2E:37450 Classify:29281 Shuffle:43 Extract:284 Split:2387 E2E:37450
E2E:36806 Classify:31140 Shuffle:53 Extract:310 Split:2254 E2E:36806
E2E:37777 Classify:29473 Shuffle:47 Extract:313 Split:2408 E2E:37777
E2E:36795 Classify:28598 Shuffle:55 Extract:523 Split:2312 E2E:36795
E2E:38117 Classify:29967 Shuffle:44 Extract:327 Split:2340 E2E:38117
E2E:37367 Classify:29254 Shuffle:51 Extract:287 Split:2353 E2E:37367
E2E:38253 Classify:30038 Shuffle:45 Extract:385 Split:2412 E2E:38253
E2E:37063 Classify:29041 Shuffle:53 Extract:297 Split:2267 E2E:37063
E2E:37858 Classify:29493 Shuffle:61 Extract:367 Split:2468 E2E:37858
E2E:37412 Classify:29111 Shuffle:48 Extract:315 Split:2527 E2E:37412
E2E:37664 Classify:29456 Shuffle:44 Extract:585 Split:2419 E2E:37664
E2E:37898 Classify:29589 Shuffle:49 Extract:692 Split:2389 E2E:37898
E2E:37700 Classify:29276 Shuffle:59 Extract:647 Split:2524 E2E:37700
E2E:37436 Classify:29433 Shuffle:47 Extract:282 Split:2238 E2E:37436
E2E:37564 Classify:29418 Shuffle:52 Extract:286 Split:2295 E2E:37564
E2E:37956 Classify:29560 Shuffle:46 Extract:314 Split:2586 E2E:37956
E2E:38618 Classify:30227 Shuffle:47 Extract:305 Split:2542 E2E:38618
E2E:37886 Classify:29636 Shuffle:42 Extract:316 Split:2439 E2E:37886
E2E:37379 Classify:29181 Shuffle:44 Extract:294 Split:2415 E2E:37379
E2E:37703 Classify:29483 Shuffle:48 Extract:312 Split:2419 E2E:37703
E2E:37599 Classify:29241 Shuffle:45 Extract:294 Split:2565 E2E:37599
E2E:38018 Classify:29614 Shuffle:75 Extract:322 Split:2549 E2E:38018
E2E:38018 Classify:29472 Shuffle:56 Extract:299 Split:2702 E2E:38018
E2E:37399 Classify:29227 Shuffle:58 Extract:327 Split:2375 E2E:37399
E2E:38204 Classify:29917 Shuffle:45 Extract:429 Split:2469 E2E:38204
E2E:37427 Classify:29379 Shuffle:43 Extract:335 Split:2266 E2E:37427
E2E:37775 Classify:29496 Shuffle:46 Extract:328 Split:2477 E2E:37775
E2E:38307 Classify:30171 Shuffle:47 Extract:299 Split:2392 E2E:38307
E2E:37867 Classify:29450 Shuffle:54 Extract:448 Split:2606 E2E:37867
E2E:37227 Classify:29190 Shuffle:52 Extract:575 Split:2286 E2E:37227
E2E:37863 Classify:29487 Shuffle:91 Extract:464 Split:2531 E2E:37863
E2E:37404 Classify:29170 Shuffle:54 Extract:339 Split:2473 E2E:37404
E2E:37679 Classify:29451 Shuffle:45 Extract:280 Split:2502 E2E:37679
E2E:37509 Classify:29217 Shuffle:61 Extract:321 Split:2489 E2E:37509
E2E:37805 Classify:29643 Shuffle:44 Extract:581 Split:2384 E2E:37805
E2E:37512 Classify:29265 Shuffle:37 Extract:261 Split:2492 E2E:37512
E2E:38022 Classify:29648 Shuffle:39 Extract:450 Split:2523 E2E:38022
E2E:37641 Classify:29427 Shuffle:39 Extract:321 Split:2457 E2E:37641
E2E:37532 Classify:29367 Shuffle:50 Extract:376 Split:2335 E2E:37532
E2E:13929 Classify:7153 Shuffle:48 Extract:976 Split:1457 E2E:13929
E2E:13440 Classify:7005 Shuffle:53 Extract:481 Split:1137 E2E:13440
E2E:15152 Classify:6874 Shuffle:46 Extract:1425 Split:2207 E2E:15152
E2E:46342 Classify:35346 Shuffle:417 Extract:2285 Split:4376 E2E:46342
E2E:39282 Classify:31151 Shuffle:42 Extract:384 Split:2370 E2E:39282
E2E:38038 Classify:29700 Shuffle:43 Extract:292 Split:2541 E2E:38038
E2E:37280 Classify:29031 Shuffle:116 Extract:562 Split:2454 E2E:37280
E2E:37387 Classify:29350 Shuffle:45 Extract:317 Split:2218 E2E:37387
E2E:37173 Classify:29024 Shuffle:56 Extract:282 Split:2394 E2E:37173
E2E:37135 Classify:29002 Shuffle:47 Extract:415 Split:2231 E2E:37135
E2E:37512 Classify:29151 Shuffle:46 Extract:453 Split:2536 E2E:37512
E2E:37529 Classify:29215 Shuffle:54 Extract:296 Split:2542 E2E:37529
E2E:37425 Classify:29146 Shuffle:45 Extract:348 Split:2466 E2E:37425
E2E:37317 Classify:29169 Shuffle:45 Extract:327 Split:2339 E2E:37317
E2E:37201 Classify:29172 Shuffle:50 Extract:319 Split:2190 E2E:37201
E2E:37592 Classify:29132 Shuffle:56 Extract:450 Split:2673 E2E:37592
E2E:37711 Classify:29506 Shuffle:53 Extract:263 Split:2443 E2E:37711
E2E:37264 Classify:29274 Shuffle:55 Extract:276 Split:2218 E2E:37264
E2E:37583 Classify:29547 Shuffle:54 Extract:414 Split:2299 E2E:37583
E2E:37510 Classify:29814 Shuffle:52 Extract:653 Split:2445 E2E:37510
E2E:37825 Classify:29455 Shuffle:47 Extract:352 Split:2584 E2E:37825
E2E:37599 Classify:29415 Shuffle:46 Extract:324 Split:2439 E2E:37599
E2E:37661 Classify:29615 Shuffle:53 Extract:524 Split:2244 E2E:37661
E2E:37809 Classify:29397 Shuffle:53 Extract:381 Split:2622 E2E:37809
E2E:37827 Classify:29694 Shuffle:76 Extract:314 Split:2309 E2E:37827
E2E:37752 Classify:29460 Shuffle:51 Extract:309 Split:2432 E2E:37752
E2E:37392 Classify:29379 Shuffle:59 Extract:292 Split:2260 E2E:37392
E2E:37450 Classify:29328 Shuffle:45 Extract:474 Split:2320 E2E:37450
E2E:37296 Classify:29295 Shuffle:48 Extract:402 Split:2197 E2E:37296
E2E:37631 Classify:29490 Shuffle:46 Extract:368 Split:2352 E2E:37631
E2E:37465 Classify:29363 Shuffle:54 Extract:331 Split:2220 E2E:37465
E2E:37295 Classify:29277 Shuffle:45 Extract:361 Split:2252 E2E:37295
E2E:37476 Classify:29277 Shuffle:45 Extract:276 Split:2411 E2E:37476
E2E:37453 Classify:29240 Shuffle:45 Extract:306 Split:2490 E2E:37453
E2E:37488 Classify:29300 Shuffle:53 Extract:311 Split:2368 E2E:37488
E2E:38395 Classify:30253 Shuffle:47 Extract:606 Split:2366 E2E:38395
E2E:38045 Classify:29532 Shuffle:45 Extract:307 Split:2673 E2E:38045
E2E:37878 Classify:29341 Shuffle:41 Extract:463 Split:2490 E2E:37878
E2E:37463 Classify:29609 Shuffle:83 Extract:351 Split:2318 E2E:37463
E2E:36881 Classify:28845 Shuffle:72 Extract:317 Split:2230 E2E:36881
E2E:38143 Classify:29573 Shuffle:44 Extract:539 Split:2333 E2E:38143
E2E:37176 Classify:29025 Shuffle:42 Extract:294 Split:2394 E2E:37176
E2E:38403 Classify:29806 Shuffle:55 Extract:451 Split:2796 E2E:38403
E2E:37676 Classify:29214 Shuffle:52 Extract:407 Split:2629 E2E:37676
E2E:37802 Classify:29666 Shuffle:42 Extract:297 Split:2382 E2E:37802
E2E:37514 Classify:29141 Shuffle:45 Extract:315 Split:2549 E2E:37514
E2E:37551 Classify:29421 Shuffle:44 Extract:297 Split:2324 E2E:37551
E2E:37355 Classify:29238 Shuffle:56 Extract:315 Split:2376 E2E:37355
E2E:37682 Classify:29487 Shuffle:58 Extract:305 Split:2380 E2E:37682
E2E:37334 Classify:29300 Shuffle:48 Extract:304 Split:2265 E2E:37334
E2E:38151 Classify:29725 Shuffle:51 Extract:322 Split:2621 E2E:38151
E2E:37423 Classify:29410 Shuffle:53 Extract:316 Split:2253 E2E:37423
E2E:40103 Classify:29548 Shuffle:43 Extract:442 Split:4748 E2E:40103
E2E:42568 Classify:34274 Shuffle:52 Extract:626 Split:2517 E2E:42568
E2E:37987 Classify:29765 Shuffle:49 Extract:458 Split:2447 E2E:37987
E2E:37784 Classify:29303 Shuffle:52 Extract:571 Split:2597 E2E:37784
E2E:37550 Classify:29691 Shuffle:54 Extract:353 Split:2363 E2E:37550
E2E:37957 Classify:29709 Shuffle:48 Extract:326 Split:2499 E2E:37957
E2E:37249 Classify:29095 Shuffle:52 Extract:274 Split:2345 E2E:37249
E2E:37766 Classify:29414 Shuffle:65 Extract:346 Split:2481 E2E:37766
